"UserID","Recency","Frequency","Monetary","R_score","F_score","M_score","RFM_score","Segment"
1324354,218,136,11976.61,1,4,3,143,"Promising"
1324355,240,106,425.56,1,4,0,140,"Need Attention"
1324356,222,75,1365.26,1,4,0,140,"Need Attention"
1324358,94,9,336.2898,3,2,0,320,"Potential Loyalists"
1324360,235,32,65.7427,1,2,1,121,"Need Attention"
1324362,218,7,22,1,1,1,111,"Need Attention"
1324363,21,6,275.53,3,1,0,310,"Potential Loyalists"
1324364,237,22,295,1,2,0,120,"Need Attention"
1324368,163,136,8584.67,2,4,3,243,"Promising"
1324369,94,86,1026.3328,3,4,0,340,"Potential Loyalists"
1324371,NA,NA,NA,0,0,0,0,"Need Attention"
1324372,198,76,623.6493,2,4,0,240,"Promising"
1324377,62,5,31.8002,3,1,1,311,"Potential Loyalists"
1324378,102,9,80,3,2,0,320,"Potential Loyalists"
1324379,202,228,7773.2928,2,4,3,243,"Promising"
1324383,31,9,6740.9769,3,2,3,323,"Potential Loyalists"
1324385,89,17,4721.59,3,2,3,323,"Potential Loyalists"
1324386,233,134,11627.1825,1,4,3,143,"Promising"
1324391,NA,NA,NA,0,0,0,0,"Need Attention"
1324393,86,55,378.4411,3,4,0,340,"Potential Loyalists"
1324396,16,16,325.75,4,2,0,420,"Loyalists"
1324400,57,43,1436.25,3,3,0,330,"Potential Loyalists"
1324402,11,6,100,4,1,0,410,"Loyalists"
1324403,123,44,635.75,2,3,0,230,"Promising"
1324404,241,311,40399.65,1,4,3,143,"Promising"
1324405,218,87,229.88,1,4,0,140,"Need Attention"
1324408,224,98,6063.48,1,4,3,143,"Promising"
1324411,2,3,120,4,1,0,410,"Loyalists"
1324413,89,56,1921.28,3,4,0,340,"Potential Loyalists"
1324416,167,142,9021.24,2,4,3,243,"Promising"
1324418,19,20,131.0623,4,2,0,420,"Loyalists"
1324419,233,100,23738.72,1,4,3,143,"Promising"
1324420,57,21,122.5,3,2,0,320,"Potential Loyalists"
1324421,45,17,78.25,3,2,0,320,"Potential Loyalists"
1324424,221,19,138.55,1,2,0,120,"Need Attention"
1324427,31,14,192.9,3,2,0,320,"Potential Loyalists"
1324429,43,8,40,3,2,1,321,"Potential Loyalists"
1324432,106,15,88.3037,3,2,0,320,"Potential Loyalists"
1324433,12,6,5.485,4,1,1,411,"Loyalists"
1324434,191,29,132,2,2,0,220,"Promising"
1324437,235,62,4080.9018,1,4,3,143,"Promising"
1324438,206,108,1118.69,2,4,0,240,"Promising"
1324441,29,10,30,3,2,1,321,"Potential Loyalists"
1324442,98,9,51.97,3,2,1,321,"Potential Loyalists"
1324443,202,69,493.9,2,4,0,240,"Promising"
1324444,225,68,1255.26,1,4,0,140,"Need Attention"
1324445,NA,NA,NA,0,0,0,0,"Need Attention"
1324446,14,10,4.6191,4,2,1,421,"Loyalists"
1324448,1,2,11.5145,4,1,1,411,"Loyalists"
1324449,238,335,15883.4736,1,4,3,143,"Promising"
1324454,41,78,1650.55,3,4,0,340,"Potential Loyalists"
1324455,2,4,68.69,4,1,1,411,"Loyalists"
1324456,232,10,383.58,1,2,0,120,"Need Attention"
1324459,12,6,10,4,1,1,411,"Loyalists"
1324460,233,34,172.5,1,2,0,120,"Need Attention"
1324461,29,8,150.24,3,2,0,320,"Potential Loyalists"
1324465,239,216,1086.76,1,4,0,140,"Need Attention"
1324466,5,4,150.5,4,1,0,410,"Loyalists"
1324470,115,13,72.21,2,2,1,221,"Promising"
1324471,239,39,154.5,1,2,0,120,"Need Attention"
1324473,15,10,93.75,4,2,0,420,"Loyalists"
1324474,14,10,131.6,4,2,0,420,"Loyalists"
1324475,112,46,32.7,3,3,1,331,"Potential Loyalists"
1324476,179,111,1299.24,2,4,0,240,"Promising"
1324477,131,68,1826.31,2,4,0,240,"Promising"
1324479,233,36,311.84,1,2,0,120,"Need Attention"
1324482,231,57,288.53,1,4,0,140,"Need Attention"
1324483,113,10,40,3,2,1,321,"Potential Loyalists"
1324484,230,104,2053.99,1,4,0,140,"Need Attention"
1324489,4,2,20,4,1,1,411,"Loyalists"
1324490,239,21,180,1,2,0,120,"Need Attention"
1324491,65,40,166.05,3,3,0,330,"Potential Loyalists"
1324492,26,19,292.38,3,2,0,320,"Potential Loyalists"
1324493,93,38,106.98,3,2,0,320,"Potential Loyalists"
1324494,197,53,314.2,2,4,0,240,"Promising"
